Item Number,Brand,Processor,Screen Size (in),Color,Ram Size (GB),SSD Capacity (GB),GPU,Processor Speed (GHz),Type,Resolution Size,Maximum Resolution,Model,OS,Hard Drive Capacity (GB),Storage Type,Condition,Price ($)
85264981001,Chuwi,Quad Core,14.0,Gray,8.0,1000.0,Intel Iris Plus Graphics 655,3.8,Notebook/Laptop,Large,2160 x 1440,CHUWI CoreBook X,Windows 11 Home,512,SSD,New,303.68
85264981003,Dell,Intel Core i5,14.0,Black,16.0,500.0,Intel HD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude E5470,Windows 10 Pro,500,SSD,Used,175.0
85264981014,Chuwi,Intel Celeron,14.1,Gray,8.0,256.0,Intel UHD Graphics 600,2.8,Notebook/Laptop,Medium,1920 x 1080,CHUWI LapBook Pro,Windows 11 Home,256,SSD,New,151.99
85264981015,Chuwi,Intel Core i5,14.0,Gray,8.0,512.0,Intel Iris Plus Graphics 655,3.8,Notebook/Laptop,Large,2160 x 1440,CHUWI CoreBook X,Windows 10,512,SSD + HDD,New,243.99
85264981018,Dell,Intel Celeron,11.0,Black,4.0,128.0,Intel UHD Graphics 600,1.1,Notebook/Laptop,Small,1366 x 768,Dell Latitude 3189,Windows 10 Pro,128,SSD,Used,129.99
85264981019,Acer,Intel Celeron,11.6,Gray,4.0,16.0,Intel HD Graphics,1.6,Notebook/Laptop,Small,1366 x 768,Acer Chromebook C731,Chrome OS,16,SSD,Used,39.99
85264981023,Dell,Intel Core i5,12.5,Black,8.0,256.0,Intel HD Graphics,2.6,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5289,Windows 10,256,SSD,Used,199.99
85264981028,HP,Intel Core i5,15.6,Silver,32.0,2000.0,Intel Iris Xe Graphics,4.2,Notebook/Laptop,Medium,1920 x 1080,HP 15 Essential,Windows 11 Home,2000,SSD,New,629.0
85264981030,Dell,Intel Core i5,15.6,Black,16.0,512.0,Intel HD Graphics 620,3.1,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5580,Windows 10 Pro,512,SSD,Very Good,344.99
85264981031,Chuwi,Quad Core,15.6,Gray,16.0,512.0,Intel UHD Graphics,3.4,Notebook/Laptop,Medium,1920 x 1080,GemiBook Plus,Windows 11 Home,512,SSD,New,241.99
85264981035,Chuwi,Intel Celeron,14.1,Gray,8.0,256.0,Intel UHD Graphics 600,2.8,Notebook/Laptop,Medium,1920 x 1080,CHUWI LapBook Pro,Windows 11 Home,256,SSD,New,149.99
85264981040,Chuwi,Intel Celeron,13.5,Gray,12.0,512.0,Intel UHD Graphics,2.8,Notebook/Laptop,Large,2256 x 1504,CHUWI FreeBook,Windows 10 Home,12,SSD,New,269.49
85264981042,Dell,AMD Ryzen 5,15.6,Black,16.0,512.0,AMD Radeon Graphics,4.5,Notebook/Laptop,Medium,1920 x 1080,Dell Inspiron 15 3535,Windows 11 Home,512,SSD,New,489.0
85264981048,HP,Intel Celeron,11.6,Multicolor,4.0,16.0,Intel HD Graphics 500,2.4,Notebook/Laptop,Small,1366 x 768,Chromebook 11 G6 EE,Chrome OS,16,eMMC,Very Good,84.99
85264981050,HP,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,1.6,Chromebook,Small,1366 x 768,Samsung ChromeBook,Chrome OS,16,eMMC,Used,69.99
85264981052,Dell,Intel Core i7,12.5,Black,8.0,256.0,Intel HD Graphics 520,2.6,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude E7270,Windows 10 Pro,256,SSD,Used,129.95
85264981056,Dell,Intel Core i5,15.6,Black,8.0,256.0,NVIDIA GeForce GTX 1050 Ti,2.5,Notebook/Laptop,Medium,1920 x 1080,Dell Inspiron 15 7000,Windows 10 Home,0,SSD,Used,199.99
85264981061,Lenovo,Intel Core i5,15.6,Grey,20.0,1000.0,Intel Iris Xe Graphics,4.2,Notebook/Laptop,Medium,1920 x 1080,Lenovo Ideapad 3i,Windows 11 Home,1000,SSD,New,599.0
85264981066,HP,Intel Core i5,14.0,Silver,32.0,500.0,Intel UHD Graphics 620,2.6,Notebook/Laptop,Medium,1920 x 1080,Hp Elitlebook G5,Windows 11 Pro,500,SSD,Very Good,289.99
85264981070,Dell,Intel Core i5,14.0,Black,8.0,256.0,Intel HD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude Rugged 5414,Windows 10 Pro,256,SSD,Used,200.0
85264981072,SGIN,Intel Celeron,15.6,Silver,12.0,512.0,AMD Radeon Graphics,2.8,Notebook/Laptop,Large,1920 x 1200,X15,Windows 11 Home,12,SSD,New,225.0
85264981074,Dell,Intel Core i5,14.0,Gray,16.0,512.0,Intel HD Graphics 630,1.7,Notebook/Laptop,Medium,1920 x 1080,5410,Not Included,512,SSD,Used,229.0
85264981076,Lenovo,Intel Core i7,14.1,Black,16.0,512.0,Intel HD Graphics 520,2.6,Notebook/Laptop,Large,2560 x 1440,Lenovo ThinkPad X1 Yoga,Windows 10 Pro,512,SSD,Used,179.99
85264981085,HP,Intel Core i7,11.6,Silver,8.0,256.0,Intel HD Graphics 4000,2.1,Notebook/Laptop,Small,1366 x 768,HP Elitebook Revolve 810 G2,Windows 10 Pro,256,SSD,Used,259.0
85264981087,Acer,Intel Celeron,11.6,Gray,4.0,32.0,Intel HD Graphics 400,2.48,Notebook/Laptop,Small,1366 x 768,C731T-C0X8,Chrome OS,32,eMMC,Used,41.0
85264981118,Acer,Intel Celeron,14.0,Silver,4.0,128.0,Intel UHD Graphics 600,1.1,Notebook/Laptop,Medium,1920 x 1080,Acer Swift 1,Windows 11 Home,128,SSD,Used,89.99
85264981123,HP,Intel Core i5,15.6,Silver,8.0,256.0,Intel Iris Xe Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,15-dy2795wm,Windows 11 Home,256,SSD,New,389.95
85264981309,HP,Intel Core i5,15.6,Silver,64.0,2000.0,NVIDIA GeForce GTX 1650,4.4,Gaming Laptop Computer,Medium,1920 x 1080,HP Victus 15,Windows 11 Home,2000,SSD,New,1089.0
85264981577,Lenovo,Intel Core i3,15.6,Gray,8.0,256.0,Intel UHD Graphics,1.2,Notebook/Laptop,Medium,1920 x 1080,Lenovo IdeaPad 3 15IAU7,Windows 11 Home,8,SSD,Open box,203.05
85264981580,Dell,Intel Core i7,14.0,Black,32.0,1000.0,Intel HD Graphics 620,1.9,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 7490,Windows 11 Pro,1000,SSD,Excellent,369.99
85264981604,Microsoft,Intel Core i5,13.5,Silver,8.0,256.0,Intel HD Graphics,1.5,Notebook/Laptop,Large,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,256,SSD,Used,259.84
85264981605,HP,Intel Core i7,14.0,Silver,8.0,256.0,Intel UHD Graphics 620,1.9,Notebook/Laptop,Medium,1920 x 1080,Elitebook 840 G5,Windows 11 Pro,256,SSD,Used,172.0
85264981612,Lenovo,Intel Core i7,14.1,Purple,16.0,256.0,NVIDIA GEFORCE GT 730M,2.9,Notebook,Small,1600 x 900,ThinkPad T460p,Windows 10 Pro,0,SSD,Used,187.77
85264981621,Lenovo,Intel Core i7,14.0,Black,24.0,1000.0,Intel UHD Graphics 620,1.8,Thinkpad,Medium,1920 x 1080,Lenovo ThinkPad T480s,Windows 11 Pro,1000,SSD,Excellent,399.99
85264982124,Dell,Intel Core i5,15.6,Black,16.0,1000.0,Intel UHD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Dell Inspiron 15 3520,Windows 11 Home,1000,SSD,New,599.0
85264982131,Lenovo,Intel Core i7,14.1,Purple,16.0,256.0,NVIDIA GEFORCE GT 730M,2.9,Notebook,Small,1600 x 900,ThinkPad T460p,Windows 10 Pro,0,SSD,Used,187.77
85264982133,HP,Intel Core i7,17.3,Silver,64.0,512.0,NVIDIA Quadro P3200,2.6,Notebook/Laptop,Medium,1920 x 1080,HP Zbook 17 G5,Windows 10 Pro,512,SSD,Used,524.95
85264982145,HP,Intel Core i7,16.1,Black,16.0,1000.0,NVIDIA GeForce RTX 4060,2.4,Notebook/Laptop,Medium,1920 x 1080,HP Victus,Windows 11 Home,1000,SSD,New,1149.49
85264983019,Lenovo,Intel Core i5,14.0,Black,8.0,512.0,Intel HD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T460,Windows 10 Pro,512,SSD,Used,200.0
85264983114,Samsung,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,2.5,Notebook/Laptop,Small,1366 x 768,Samsung Chromebook 3,Chrome OS,16,SSD,Used,47.0
85264983116,Lenovo,Intel Core i5,15.6,Black,4.0,0.0,Intel HD Graphics,2.5,Notebook/Laptop,Small,1024 x 768,E540,Windows 7 Pro,500,HDD,Used,99.99
85264983125,Dell,Intel Core i7,14.0,Black,32.0,512.0,Intel UHD Graphics 620,1.9,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 7400,Windows 11 Pro,512,SSD,Excellent,334.99
85264983128,HP,Intel Celeron,14.0,Gray,4.0,16.0,Intel HD Graphics 5000,2.4,Chromebook,Small,1366 x 768,Chromebook 14 G5,Chrome OS,1,eMMC,Used,49.0
85264983133,Lenovo,AMD Ryzen 5,14.0,Black,16.0,256.0,AMD Radeon Graphics,2.3,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T14,Windows 10 Pro,256,SSD,New,499.99
85264983136,Acer,Intel Core i7,13.5,Gray,16.0,128.0,Intel UHD Graphics 620,1.8,Notebook/Laptop,Large,2256 x 1504,Acer Chromebook Spin 713,Chrome OS,16,SSD,Used,229.99
85264983138,Lenovo,Intel Core i5,14.0,Gray,16.0,512.0,Intel UHD Graphics,1.0,Notebook/Laptop,Medium,1920 x 1080,IdeaPad Flex 5 14IIL05,Windows 11 Home,512,SSD,Used,320.0
85264983146,HP,Intel Core i5,15.6,Gray,8.0,500.0,Intel HD Graphics,2.5,Notebook/Laptop,Small,1366 x 768,HP ProBook,Windows 10,500,HDD,Used,99.99
85264983148,Dell,Intel Core i5,15.6,Black,8.0,256.0,Intel HD Graphics,2.3,Notebook/Laptop,Small,1366 x 768,Dell Latitude 3570,Windows 10 Pro,256,SSD,Used,115.0
85264983149,Dell,Intel Core i5,14.0,Black,32.0,512.0,Intel UHD Graphics 620,1.7,Notebook/Laptop,Medium,1920 x 1080,14,Not Included,512,SSD,Used,399.0
85264983355,Dell,Intel Celeron,11.6,Black,4.0,64.0,Intel HD,1.1,Notebook/Laptop,Small,1366 x 768,Dell Latitude 3189,Windows 11,64,SSD,Used,93.0
85264983366,Lenovo,AMD Ryzen 5,14.0,Black,16.0,256.0,AMD Radeon Graphics,2.3,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T14,Windows 10 Pro,256,SSD,Used,419.99
85264983367,Samsung,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,2.5,Notebook/Laptop,Small,1366 x 768,Samsung Chromebook 3,Chrome OS,16,SSD,Used,40.46
85264983372,HP,AMD A4-9120C,14.0,Blue,4.0,32.0,AMD Radeon R4,2.4,Chromebook,Small,1366 x 768,HP Chromebook,Chrome OS,32,eMMC,Open box,99.99
85264983373,HP,Intel Core i7,14.0,Silver,8.0,256.0,Intel UHD Graphics 620,1.9,Notebook/Laptop,Medium,1920 x 1080,Elitebook 840 G5,Windows 11 Pro,256,SSD,Used,172.0
85264983376,Microsoft,Intel Core i5,13.5,Silver,8.0,256.0,Intel HD Graphics,1.5,Notebook/Laptop,Large,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,256,SSD,Used,259.84
85264983378,Lenovo,Intel Core i7,14.1,Purple,16.0,256.0,NVIDIA GEFORCE GT 730M,2.9,Notebook,Small,1600 x 900,ThinkPad T460p,Windows 10 Pro,0,SSD,Used,187.77
85264983384,MSI,Intel Core i7,15.6,Black,8.0,512.0,NVIDIA GeForce RTX 4060,2.3,Notebook/Laptop,Medium,1920 x 1080,MSI Cyborg 15,Windows 11 Home,512,SSD,New,919.0
85264983394,Dell,Intel Core i5,14.0,Black,8.0,500.0,Intel HD Graphics,2.3,Notebook/Laptop,Small,1366 x 768,Dell Latitude E5450,Windows 10,8,SSD,Used,140.0
85264983404,Dell,Intel Core i5,15.6,Black,16.0,1000.0,Intel UHD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Dell Inspiron 15 3520,Windows 11 Home,1000,SSD,New,599.0
85264983405,Gateway,Intel Core i5,14.1,Black,8.0,512.0,Intel Iris Xe Graphics,1.2,Notebook/Laptop,Medium,1920 x 1080,Gateway i5-12th,Windows 11 Home,512,SSD,New,319.99
85264983410,Dell,Intel Core i5,10.8,Black,8.0,0.0,Intel HD Graphics,1.6,Notebook/Laptop/Tablet,Medium,1920 x 1080,i5-4300Y,Not Included,8,SSD,For parts or not working,31.95
85264983411,Dell,Intel Core i5,13.3,Silver,4.0,0.0,Intel GMA,2.67,Notebook/Laptop,Small,1366 x 768,Dell Latitude E4310,Windows XP,250,HDD,Used,74.99
85264983412,Lenovo,Intel Core i5,14.0,Black,16.0,256.0,Intel UHD Graphics 620,1.6,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T490S,Windows 11 Pro,256,SSD,Used,189.0
85264983426,Dell,Intel Core i7,14.0,Black,16.0,256.0,Intel Iris Xe Graphics,1.8,Notebook,Medium,1920 x 1080,Latitude 5430 Rugged,Windows 11 Pro,256,SSD,Very Good,1329.99
85264983427,Dell,Intel Core i3,14.0,Black,8.0,256.0,Intel Iris Xe Graphics,3.3,Tablet,Large,1920 x 1200,Latitude 7230 Rugged Extreme Tablet,Windows 11 Pro,256,SSD,Excellent,1049.99
85264983429,Dell,Intel Celeron,11.6,Black,4.0,128.0,Intel UHD Graphics 600,1.1,Notebook/Laptop,Small,1366 x 768,Dell Latitude 3189,Windows 10,128,SSD,Used,139.99
85264983436,Microsoft,Microsoft SQ2,13.0,Black,16.0,256.0,Qualcomm Adreno 690,1.8,Notebook/Laptop,Large,2880 x 1920,Microsoft Surface Pro X,Windows 11 Home,256,SSD,Used,509.99
85264983437,Lenovo,Intel Core i7,13.0,Black,16.0,256.0,Intel UHD Graphics 620,1.8,Notebook/Laptop,Large,3000 x 2000,Lenovo ThinkPad X1 Tablet Gen 3,Windows 11 Pro,256,SSD,Excellent,419.99
85264983443,Acer,Intel Core i5,15.6,Black,16.0,512.0,NVIDIA GeForce RTX 3050Ti,2.7,Notebook/Laptop,Medium,1920 x 1080,Acer Nitro 5,Windows 11 Home,512,SSD,New,629.0
85264983447,Dell,Intel Core i7,14.0,Gray,16.0,256.0,Intel Iris Xe Graphics,3.0,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 7420,Windows 11 Pro,256,SSD,Used,349.99
85264983452,Acer,Intel Celeron,11.6,Black,4.0,32.0,Intel HD Graphics,1.6,Laptop,Small,1366 x 768,Chromebook C738T-C44Z,Chrome OS,32,SSD,Used,57.99
85264983454,HP,Intel Core i7,17.3,Silver,64.0,512.0,NVIDIA Quadro P3200,2.6,Notebook/Laptop,Medium,1920 x 1080,HP Zbook 17 G5,Windows 10 Pro,512,SSD,Used,524.95
85264983459,Lenovo,Intel Core i5,14.0,Black,8.0,256.0,Intel UHD Graphics,1.7,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T480s,Windows 10 Pro,256,SSD,Used,189.99
85264983464,Dell,Intel Core i7,17.3,Silver,32.0,512.0,NVIDIA Quadro RTX 4000,2.4,Notebook/Laptop,Medium,1920 x 1080,Precision 7740,Windows 10 Pro,32,SSD,Used,649.99
85264983468,Lenovo,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics 500,1.83,Notebook/Laptop,Small,1366 x 768,Lenovo Thinkpad Yoga 11e,Chrome OS,16,eMMC,Used,35.0
85264983472,HP,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,2.16,Chromebook,Small,1366 x 768,HP Chromebook 11 G4,Chrome OS,16,SSD,Used,37.95
85264983474,Dell,Intel Core i7,15.6,Silver,64.0,2000.0,NVIDIA Quadro M1200,3.9,Ultrabook,Medium,1920 x 1080,Dell Precision 5520,Windows 11 Pro,2000,NVMe,Open box,799.99
85264983476,Lenovo,Intel Core i7,16.0,Gray,16.0,512.0,Intel Iris Xe Graphics,4.7,Notebook/Laptop,Large,2560 x 1600,82R,Windows 11,512,SSD,Open box,616.4
85264983479,Dell,Intel Core i5,14.0,Black,32.0,500.0,Intel UHD Graphics 620,1.9,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5440,Windows 11 Pro,500,SSD,Excellent,279.99
85264983482,Dell,Intel Core i7,14.0,Black,64.0,2000.0,Intel HD Graphics 620,3.9,Ultrabook,Medium,1920 x 1080,Dell Latitude E7480 7480 E7280 7280,Windows 10,2000,SSD,Excellent,909.95
85264983485,HP,Intel Core i7,17.3,Silver,64.0,4000.0,Intel Iris Xe Graphics,1.7,Notebook/Laptop,Medium,1920 x 1080,HP 17-cn3097nr,Windows 11 Pro,1000,SSD + HDD,New,1280.0
85264983493,Samsung,Intel Core i5,13.3,Red,8.0,256.0,Intel UHD Graphics,1.6,Notebook/Laptop,Large,3840 x 2160,Samsung Galaxy Chromebook 4k,Chrome OS,256,SSD,Used,349.99
85264983503,Acer,Intel Core i5,15.6,Black,16.0,512.0,NVIDIA GeForce RTX 3050Ti,2.7,Notebook/Laptop,Medium,1920 x 1080,Acer Nitro 5,Windows 11 Home,512,SSD,New,629.0
85264983505,Dell,Intel Celeron,11.6,Black,4.0,128.0,Intel UHD Graphics 600,1.1,Notebook/Laptop,Small,1366 x 768,Dell Latitude 3189,Windows 10,128,SSD,Used,139.99
85264983514,Dell,Intel Core i7,14.0,Silver,16.0,512.0,Intel Iris Xe Graphics,3.9,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5440,Windows 11 Pro,512,SSD,New,825.0
85264983519,Microsoft,Intel Core i5,13.5,Silver,8.0,256.0,Intel HD Graphics,1.5,Notebook/Laptop,Large,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,256,SSD,Used,259.84
85264983523,Lenovo,AMD Ryzen 7 Pro,14.0,Black,16.0,512.0,Radeon Vega Mobile Gfx,2.3,Notebook/Laptop,Medium,1920 x 1080,ThinkPad,Windows 11 Pro,16,SSD,Used,299.0
85264983532,Dell,Intel Core i5,14.0,Black,32.0,1000.0,Intel UHD Graphics 620,1.7,Notebook/Laptop,Small,1366 x 768,Dell Latitude 7490,Windows 10 Pro,1000,SSD,Used,245.0
85264983541,Dell,Intel Core i7,15.6,Silver,32.0,512.0,NVIDIA Quadro P1000,2.6,Notebook/Laptop,Medium,1920 x 1080,Dell Precision 5530,Not Included,512,SSD,Used,388.0
85264983544,Chuwi,Intel Core i5,14.0,Gray,8.0,1000.0,Intel Iris Plus Graphics 655,3.8,Notebook/Laptop,Large,2160 x 1440,CHUWI CoreBook X,Windows 10,512,SSD,New,309.99
85264983545,HP,Intel Celeron,11.6,Gray/Black,4.0,16.0,Intel HD Graphics,2.16,Notebook/Laptop,Small,1366 x 768,HP Chromebook 11 G4,Chrome OS,16,eMMC,Used,85.0
85264983547,HP,Intel Celeron,14.0,White,4.0,64.0,Intel UHD Graphics,1.1,Notebook/Laptop,Small,1366 x 768,14-dq0080nr,Windows 11 Home,64,eMMC,Used,110.95
85264983550,HP,Intel Core i7,15.6,Silver,8.0,256.0,NVIDIA Quadro 2000M,2.2,Notebook/Laptop,Medium,1920 x 1080,HP EliteBook 8560P,Windows 11 Home,256,SSD,Used,135.0
85264983554,Lenovo,Intel Core i5,15.6,Black,8.0,256.0,Intel UHD Graphics 620,1.7,Notebook/Laptop,Medium,1920 x 1080,Lenovo Thinkpad T580,Windows 11 Pro,256,SSD,Used,170.0
85264983561,Lenovo,Intel Celeron,11.6,Black,4.0,0.0,Intel HD Graphics,1.0,Chromebook,Small,1366 x 768,Lenovo Thinkpad Yoga 11e,Chrome OS,16,SSD,Used,35.0
85264983562,HP,AMD Ryzen 7,16.1,Black,16.0,512.0,NVIDIA GeForce RTX 4060,5.1,Notebook/Laptop,Medium,1920 x 1080,HP Omen,Windows 11 Home,0,SSD,Certified,949.47
85264983565,Dell,Intel Core i7,15.6,Black,32.0,512.0,NVIDIA Quadro P3200,2.2,Notebook/Laptop,Medium,1920 x 1080,7530,Windows 11 Pro,512,SSD,Used,329.49
85264983570,Dell,Intel Core i7,15.6,Black,16.0,512.0,NVIDIA Quadro M1000M,2.7,Notebook/Laptop,Medium,1920 x 1080,Dell Precision 7510,Windows 11 Pro,512,SSD,Used,224.95
85264983572,Lenovo,Intel Core i7,16.0,Gray,16.0,512.0,Intel Iris Xe Graphics,4.7,Notebook/Laptop,Large,2560 x 1600,82R,Windows 11,512,SSD,Open box,616.4
85264983573,Chuwi,Intel N100,10.5,Gray,12.0,512.0,Intel UHD Graphics,3.4,Notebook/Laptop,Large,1920 x 1200,CHUWI MiniBook X,Windows 11 Home,512,SSD,New,344.99
85264983575,Lenovo,Intel Core i5,14.0,Black,16.0,512.0,Intel HD Graphics 5500,2.3,Notebook/Laptop,Small,1600 x 900,Lenovo ThinkPad T450,Windows 11 Pro,512,SSD,Used,154.0
85264983578,Dell,Intel Core i5,17.0,Silver,16.0,256.0,NVIDIA RTX A2000,4.6,Notebook/Laptop,Large,1920 x 1200,Precision 5760,Windows 10 Pro,256,SSD,Used,799.99
85264983585,Lenovo,Intel Core i5,15.6,Black,32.0,1000.0,Intel UHD Graphics,1.6,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad E15,Windows 11 Pro,1000,SSD,Used,399.99
85264983593,Dell,Intel Core i5,14.0,Black,16.0,256.0,Intel HD Graphics 530,2.6,Notebook/Laptop,Small,1366 x 768,Latitude E5470,Windows 10 Pro,0,M.2,Used,189.05
