Item Number,Brand,Processor,Screen Size (in),Color,Ram Size (GB),SSD Capacity (GB),GPU,Processor Speed (GHz),Type,Resolution Size,Maximum Resolution,Model,OS,Hard Drive Capacity (GB),Storage Type,Condition,Price ($)
85264984122,HP,AMD A6-7310 APU,15.0,Black,8.0,0.0,AMD R4 Graphics,2.0,Notebook/Laptop,Small,1366 x 768,15-ba018wm,Windows 11 Home,1000,HDD,Used,119.99
85264984125,Lenovo,Intel Core i7,14.5,Black,8.0,256.0,Intel UHD Graphics,2.6,Ultrabook,Medium,1920 x 1080,Lenovo ThinkPad X1,Windows 10 Pro,256,SSD,Used,104.99
85264984128,Jumper,Intel N100,16.0,Silver,16.0,512.0,Intel UHD Graphics,3.4,Notebook/Laptop,Large,1920 x 1200,S5 Max,Windows 11 Home,512,SSD,New,299.99
85264984134,Acer,Intel Celeron,11.6,Black,4.0,32.0,Intel HD Graphics 510,1.6,Notebook/Laptop,Small,1366 x 768,Chromebook 11 C771-C4TM,Chrome OS,32,SSD,Used,40.0
85264984136,Dell,Intel Core i5,14.0,Black,16.0,1000.0,Intel HD Graphics 4000,2.7,Notebook/Laptop,Small,1366 x 768,Core i5,Windows 10,1000,SSD,Used,229.0
85264984138,Dell,Intel Core i7,12.5,Black,8.0,128.0,Intel HD Graphics 520,2.6,Notebook,Medium,1920 x 1080,Dell Latitude E5270,Windows 10 Pro 64,0,SSD,Used,349.99
85264984143,HP,Intel Celeron,11.6,Black,2.0,32.0,Intel HD Graphics,2.16,Notebook/Laptop,Small,1366 x 768,HP Stream,Windows 10,32,eMMC,Used,104.99
85264984147,Lenovo,Intel Celeron,11.5,Black,64.0,64.0,AMD Radeon Graphics,1.1,Notebook/Laptop,Small,1366 x 768,Lenovo 100e,Windows 10 Pro,64,SSD,Open box,109.99
85264984155,Samsung,Intel Core i5,11.6,Black,4.0,128.0,Intel HD Graphics 3000,1.6,Subnotebook/Ultraportable,Small,1366 x 768,Samsung Series 7,Windows 10,128,SSD,Used,129.99
85264984158,HP,Intel Core i7,15.6,Silver,16.0,512.0,AMD Radeon R7 M350,2.8,Notebook/Laptop,Medium,1920 x 1080,Hp Elitebook 850 G4,Windows 10 Pro,512,SSD,Used,325.0
85264984162,Lenovo,Intel Core i5,14.0,Black,32.0,1000.0,Intel UHD Graphics 620,1.7,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T480,Windows 11 Pro,1000,SSD,Used,299.0
85264984163,Lenovo,Intel Core i7,14.0,Gray,16.0,1000.0,Intel UHD Graphics for 10th Generation Processors,1.8,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad X1 Yoga (5th Gen),Windows 11 Pro,1000,SSD,Used,489.99
85264984178,Lenovo,Intel Celeron,14.0,Black,4.0,16.0,Intel HD Graphics,1.6,Notebook/Laptop,Small,1366 x 768,Lenovo Chromebook N40-20,Chrome OS,16,SSD,Used,51.0
85264984213,ASUS,Intel Core i3,15.6,Black,8.0,0.0,Intel HD Graphics,2.2,Notebook/Laptop,Small,1024 x 768,X555LA,Windows 10 Pro,160,HDD,Used,89.99
85264984231,Lenovo,Intel Core i7,15.6,Blue,12.0,512.0,Intel Iris Xe Graphics,4.7,Notebook/Laptop,Medium,1920 x 1080,Lenovo IdeaPad 5,Windows 10 Home,512,SSD,Open box,549.95
85264984241,Acer,AMD Ryzen 5,15.6,Black,8.0,256.0,AMD Radeon Vega 8,2.1,Notebook/Laptop,Medium,1920 x 1080,AN515-43-R0YM,Windows 11 Home,256,SSD,Used,429.99
85264984273,Samsung,Intel Celeron,11.6,Black,2.0,16.0,Intel HD Graphics,1.6,Notebook/Laptop,Small,1366 x 768,Samsung Chromebook 3,Chrome OS,16,SSD,Used,49.0
85264984281,Acer,Intel Celeron,11.6,Gray,4.0,32.0,Intel HD Graphics 400,2.48,Notebook/Laptop,Small,1366 x 768,C731T,Chrome OS,32,eMMC,Used,54.0
85264984286,SGIN,Intel Celeron,15.6,Silver,4.0,128.0,Intel UHD Graphics 600,1.1,Notebook/Laptop,Small,1366 x 768,SGIN-M15,Windows 11 Home,128,SSD + HDD,New,159.0
85264984313,Dell,Intel Core i5,12.0,Blue,8.0,128.0,Intel HD Graphics 4000,2.6,Notebook/Laptop,Small,1366 x 768,Dell Latitude E6230,Windows 11 Pro,128,SSD,Used,110.0
85264984325,Lenovo,Intel Core i5,14.0,Gray,8.0,128.0,Intel HD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T470,Windows 11 Pro,128,SSD,Used,179.5
85264984345,Dell,Intel Core i5,14.1,Black,4.0,0.0,Intel HD Graphics,2.5,Notebook/Laptop,Small,1024 x 768,Latitude E6420,Windows XP,160,HDD,Used,89.99
85264984350,Acer,Intel Celeron,11.6,Gray,4.0,32.0,Intel HD Graphics 400,2.48,Notebook/Laptop,Small,1366 x 768,C731T,Chrome OS,32,eMMC,Used,54.0
85264984359,HP,Intel Celeron,14.0,Gray,4.0,32.0,Intel UHD Graphics 600,1.1,Notebook,Small,1366 x 768,14 G6,Chrome OS,32,eMMC,Used,139.99
85264984369,Razer,Intel Core i7,15.6,Black,0.064,1000.0,NVIDIA GeForce RTX 3070,3.8,Ultrabook,Large,3840 x 2400,Razer Blade,Linux,1000,SSD,New,2339.0
85264984373,HP,Intel Core i5,15.6,Black,16.0,256.0,Intel HD Graphics 5500,2.2,Notebook/Laptop,Small,1366 x 768,HP 850 G2,Windows 11,256,SSD,Used,199.0
85264984374,Lenovo,Intel Core i7,15.6,Blue,12.0,512.0,Intel Iris Xe Graphics,4.7,Notebook/Laptop,Medium,1920 x 1080,Core i7-1165U,Windows 11,512,SSD,Open box,569.85
85264984377,Samsung,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,2.5,Notebook/Laptop,Small,1366 x 768,Samsung Chromebook 3,Chrome OS,16,SSD,Used,38.0
85264984380,HP,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,1.6,Notebook/Laptop,Small,1366 x 768,HP Chromebook 11 G5,Chrome OS,16,SSD,Used,54.0
85264984382,ASUS,Intel Core i7,15.0,Gray,16.0,500.0,NVIDIA 850m,2.4,Notebook/Laptop,Medium,1920 x 1080,N550J,Windows 10,500,HDD,Used,295.0
85264984390,Lenovo,Intel Celeron,11.6,Black,32.0,32.0,Intel HD Graphics,1.1,Chromebook,Small,1366 x 768,Samsung ChromeBook,Chrome OS,32,eMMC,New,110.0
85264984406,HP,AMD Ryzen 3,14.0,Silver,16.0,512.0,AMD Radeon Graphics,2.0,Notebook/Laptop,Medium,1920 x 1080,HP EliteBook 745 G5,Windows 11 Pro,0,SSD,Very Good,299.99
85264984410,Lenovo,Intel Core i5,14.0,Gray,8.0,128.0,Intel HD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T470,Windows 11 Pro,128,SSD,Used,179.5
85264984435,HP,AMD Ryzen 7,15.6,Blue,8.0,512.0,AMD Radeon Graphics,4.3,Notebook/Laptop,Medium,1920 x 1080,Ryzen 7 5700U,Windows 11,512,SSD,Open box,454.37
85264984446,Acer,Intel Celeron,11.6,Gray,4.0,32.0,Intel HD Graphics 400,2.48,Notebook/Laptop,Small,1366 x 768,C731T,Chrome OS,32,eMMC,Used,54.0
85264984449,Dell,Intel Core i5,14.0,Black,8.0,256.0,Intel HD Graphics 515,2.6,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5480,Windows 10 Pro,0,SSD,Good,144.9
85264984450,Dell,Intel Core i7,12.0,Black,8.0,256.0,Intel UHD Graphics 620,1.7,Notebook/Laptop,Small,1366 x 768,7290,Windows 10,256,SSD,Used,375.0
85264984465,Dell,Intel Core i7,17.3,Black,16.0,2000.0,Intel HD Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Dell inspiron 7720,Windows 10 Pro,2000,SSD + HDD,Used,600.0
85264984476,Lenovo,Intel Core i5,14.0,Black,8.0,256.0,Intel UHD Graphics 620,1.6,Notebook/Laptop,Medium,1920 x 1080,20NY-S3Y600,Windows 10,256,SSD,Used,187.99
85264984477,HP,Intel Core i5,15.6,Black,8.0,128.0,Intel HD Graphics 520,2.4,Notebook/Laptop,Medium,1920 x 1080,HP ProBook 440 G3,Windows 11 Pro,500,HDD,Used,100.0
85264984489,Dell,AMD Ryzen 5,14.0,Bronze,8.0,256.0,AMD Radeon Graphics,2.1,Notebook/Laptop,Medium,1920 x 1080,Dell Inspiron 14 7405,Windows 11,256,SSD,Good,299.0
85264984502,Dell,Intel Celeron,15.6,Black,4.0,0.0,Intel HD Graphics,1.6,Notebook/Laptop,Small,1024 x 768,Dell Inspiron 15 3552,Windows 7 Pro,500,HDD,Used,89.99
85264984508,Dell,Intel Core i7,14.0,Black,16.0,512.0,Intel UHD Graphics 620,1.9,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5490,Windows 11 Pro,512,SSD,Used,179.99
85264984518,HP,Intel Celeron,14.0,Multicolor,4.0,16.0,Intel HD Graphics,2.16,Notebook/Laptop,Small,1366 x 768,HP Chromebook 14 G4,Chrome OS,16,eMMC,Used,79.99
85264984523,HP,Intel Core i5,15.6,Silver,8.0,256.0,Intel Iris Xe Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,15-dy2795wm,Windows 11 Home,256,SSD,New,369.95
85264984524,HP,Intel Core i7,15.6,Silver/Black,16.0,256.0,Intel HD Graphics 620,1.8,Notebook/Laptop,Medium,1920 x 1080,HP EliteBook 850,Windows 11 Pro,256,SSD,Good,199.99
85264984532,HP,Intel Celeron,14.0,Multicolor,4.0,16.0,Intel HD Graphics,2.16,Notebook/Laptop,Small,1366 x 768,HP Chromebook 14 G3,Chrome OS,16,eMMC,Good,84.99
85264984533,HP,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,2.16,Notebook/Laptop,Small,1366 x 768,HP Chromebook 11 G4,Chrome OS,16,eMMC,Used,59.95
85264984534,Lenovo,Intel Celeron,11.6,Multicolor,4.0,32.0,Intel HD Graphics,2.4,Notebook/Laptop,Small,1366 x 768,Lenovo 100e,Chrome OS,32,eMMC,Good,74.99
85264984541,Acer,Intel Celeron,11.6,Gray,4.0,16.0,Intel HD Graphics,1.4,Notebook/Laptop,Small,1366 x 768,Acer C740,Chrome OS,16,SSD,Good,49.99
85264984542,Lenovo,Intel Core i3,14.0,Black,8.0,128.0,Intel UHD Graphics,2.1,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad E14 G2,Windows 11 Home,500,SSD + HDD,Used,149.99
85264984545,HP,Intel Core i5,14.0,Silver,16.0,256.0,Intel HD Graphics 520,2.4,Notebook/Laptop,Small,1366 x 768,HP 840 G3,Windows 10 Pro,256,SSD,Very Good,179.99
85264984562,Microsoft,Intel Core i5,12.3,Black,8.0,128.0,Intel Iris Plus Graphics,1.1,Notebook/Laptop,Large,2736 x 1824,Surface Pro 7,Windows 11 Home,128,SSD,Used,255.0
85264984575,HP,AMD E-Series,14.0,Silver,8.0,512.0,AMD Radeon Graphics,1.8,Notebook/Laptop,Medium,1920 x 1080,14-an013nr,Windows 11 Home,512,SSD,Used,120.0
85264984606,HP,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics 6000,2.16,Notebook/Laptop,Small,1366 x 768,Chromebook 11 G4,Chrome OS,16,SSD,For parts or not working,114.99
85264984626,HP,Intel Core i5,15.6,Gray,8.0,256.0,Intel Iris Xe Graphics,4.6,Notebook/Laptop,Medium,1920 x 1080,HP ENVY x360,Windows 11 Home,0,SSD,Certified,479.57
85264984627,Dell,Intel Core i7,14.0,Black,32.0,1000.0,Intel Iris Xe Graphics,1.8,Notebook,Medium,1920 x 1080,Latitude 5430 Rugged,Windows 11 Pro,1000,SSD,Excellent,1899.99
85264984639,Lenovo,Intel Core i5,14.0,Black,16.0,256.0,Intel Iris Xe Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad E14 Gen 2,Windows 11 Pro,512,SSD,Used,231.0
85264984640,Dell,Intel Core i7,15.6,Silver,16.0,256.0,Intel Iris Xe Graphics,2.8,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5520,Windows 11 Pro,256,SSD,Excellent,1049.99
85264984641,Dell,AMD Ryzen 5,14.0,Bronze,8.0,256.0,AMD Radeon Graphics,2.1,Notebook/Laptop,Medium,1920 x 1080,Dell Inspiron 14 7405,Windows 11,256,SSD,Good,299.0
85264984647,HP,Intel Core i3,15.6,Silver,8.0,256.0,Intel UHD Graphics,4.1,Notebook/Laptop,Small,1366 x 768,15-dy2091wm,Windows 11 Home S,256,SSD,New,325.0
85264984653,HP,Intel Core i7,15.6,Silver,16.0,256.0,Intel UHD Graphics 620,4.3,Notebook/Laptop,Medium,1920 x 1080,HP ProBook,Windows 10,256,SSD,Used,299.99
85264984654,HP,Intel Core i5,15.6,Gray,8.0,256.0,Intel Iris Xe Graphics,4.6,Notebook/Laptop,Medium,1920 x 1080,HP ENVY x360,Windows 11 Home,0,SSD,Certified,479.57
85264984675,Dell,Intel Celeron,15.6,Black,4.0,0.0,Intel HD Graphics,1.6,Notebook/Laptop,Small,1024 x 768,Dell Inspiron 15 3552,Windows 7 Pro,500,HDD,Used,89.99
85264984681,Dell,Intel Celeron,11.6,Black,4.0,16.0,AMD Radeon Graphics,2.16,Notebook/Laptop,Small,1366 x 768,Dell Chromebook,Chrome OS,4,SSD,Used,45.0
85264984690,HP,Intel Core i3,15.6,Gray,8.0,256.0,Intel UHD Graphics,4.1,Notebook/Laptop,Small,1366 x 768,15-dy5131wm,Windows 11 Home S,256,SSD,New,314.95
85264984692,Zzetze,Intel Celeron,14.0,Gray,6.0,128.0,Intel HD Graphics 500,2.4,Notebook/Laptop,Small,1366 x 768,X23,Windows 11 Pro,128,SSD,New,172.0
85264984700,Dell,Intel Core i3,14.0,Black,8.0,256.0,Intel Iris Xe Graphics,3.3,Tablet,Large,1920 x 1200,Latitude 7230 Rugged Extreme Tablet,Windows 11 Pro,256,SSD,Excellent,1049.99
85264984702,HP,Intel Core i5,17.3,Gray,8.0,256.0,Intel UHD Graphics 630,2.3,Notebook/Laptop,Small,1600 x 900,HP Zbook 17 G5,Windows 10 Pro,256,SSD,New,649.99
85264984716,Dell,Intel Core i7,14.0,Gray,16.0,512.0,Intel Iris Xe Graphics,2.8,Notebook/Laptop,Small,1366 x 768,Latitude 3420,Windows 10 Pro,512,SSD,Used,349.95
85264984726,Dell,Intel Core i7,14.0,Black,32.0,1000.0,Intel Iris Xe Graphics,1.8,Notebook,Medium,1920 x 1080,Latitude 5430 Rugged,Windows 11 Pro,1000,SSD,Excellent,1899.99
85264984731,HP,Intel Core i3,15.6,Silver,8.0,256.0,Intel UHD Graphics,1.2,Notebook/Laptop,Medium,1920 x 1080,15-dy5131wm,Windows 11 Home,256,SSD,New,329.95
85264984732,Lenovo,AMD Ryzen 5,15.6,Black,40.0,2000.0,AMD Radeon Graphics,4.3,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad E15,Windows 11 Pro,2000,SSD,New,919.0
85264984746,HP,Intel Core i5,14.0,Silver,16.0,256.0,Intel HD Graphics 520,2.4,Notebook/Laptop,Small,1366 x 768,HP Elitebook 840 G3,Windows 10 Pro,256,SSD,Used,110.0
85264984752,Lenovo,Intel Celeron,11.6,Black,4.0,32.0,Intel HD Graphics,2.6,Notebook/Laptop,Small,1366 x 768,Lenovo 100e,Chrome OS,32,SSD,Used,55.0
85264984754,HP,Intel Celeron,11.6,Gray,4.0,16.0,Intel HD Graphics 620,1.6,Notebook/Laptop,Small,1366 x 768,ChromeBook,Chrome OS,0,SSD,Used,149.99
85264984755,Dell,Intel Core i5,17.3,Gray,16.0,500.0,Intel HD Graphics 620,2.5,Notebook/Laptop,Small,1900 x 600,Dell Inspiron 5767,Windows 10 Pro,500,SSD,Used,425.0
85264984758,Dell,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,2.16,Notebook/Laptop,Small,1366 x 768,Samsung ChromeBook,Chrome OS,16,SSD,Very Good,52.99
85264984760,HP,AMD Ryzen Pro 3,14.0,Silver,8.0,256.0,Intel HD Graphics,2.1,Notebook/Laptop,Medium,1920 x 1080,HP EliteBook mt45,Windows 10 Home,256,SSD,Used,243.0
85264984771,Dell,Intel Core i7,14.0,Black,16.0,256.0,Intel UHD Graphics 620,1.9,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5400,Windows 11 Pro,256,SSD,Very Good,199.0
85264984776,Dell,Intel Core i5,14.0,Silver,16.0,512.0,Intel Iris Xe Graphics,2.6,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5420,Windows 11 Pro,512,SSD,Excellent,699.99
85264984788,Acer,Intel Core i5,15.6,Black,16.0,256.0,NVIDIA Geforce RTX 1650,2.6,Notebook/Laptop,Medium,1920 x 1080,Nitro 5 AN515-54-70KK,Windows 11,256,SSD,Used,435.0
85264984802,Microsoft,Intel Core i5,12.3,Black,8.0,128.0,Intel Iris Plus Graphics,1.1,Notebook/Laptop,Large,2736 x 1824,Surface Pro 7,Windows 11 Home,128,SSD,Used,255.0
85264984814,Acer,Intel Core i3,17.3,Gray,8.0,256.0,Intel UHD Graphics,3.0,Notebook/Laptop,Small,1600 x 900,Acer Aspire 3,Windows 11 Home,256,SSD,New,399.0
85264984826,Dell,Intel Core i7,15.0,Gray,8.0,256.0,NVIDIA GeForce GTX 1050 Ti,2.8,Notebook/Laptop,Medium,1920 x 1080,Alienware 15 R3,Windows 10 Home,1000,SSD + HDD,Used,300.0
85264984828,HP,AMD E-Series,14.0,Silver,8.0,512.0,AMD Radeon Graphics,1.8,Notebook/Laptop,Medium,1920 x 1080,14-an013nr,Windows 11 Home,512,SSD,Used,120.0
85264984847,Lenovo,Intel Core i5,15.6,Black,32.0,1000.0,Intel UHD Graphics,1.6,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad E15,Windows 11 Pro,1000,SSD,Used,399.99
85264984853,Dell,Intel Core i7,15.6,Black,32.0,1000.0,NVIDIA Quadro M620,2.8,Notebook/Laptop,Medium,1920 x 1080,Dell Precision 3520,Windows 11 Pro,1000,SSD,Excellent,399.99
85264984879,Microsoft,Microsoft SQ1,13.0,Black,8.0,128.0,Microsoft SQ1 Adreno 685,3.0,2 in 1 Laptop/Tablet,Large,2880 x 1920,Microsoft Surface Pro X,Windows 10,8,SSD,Open box,510.0
85264984962,Lenovo,Intel Pentium,14.0,Gray,4.0,128.0,Intel UHD Graphics 605,1.1,Notebook/Laptop,Small,1366 x 768,IdeaPad 1 14IGL05,Windows 11 Home,128,SSD,For parts or not working,159.99
85264984968,Dell,Intel Core i5,14.0,Black,16.0,512.0,Intel Iris Xe Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 5430 Rugged,Windows 11 Pro,512,SSD,New,1482.83
85264984992,Microsoft,Intel Core i5,13.5,Silver,8.0,256.0,Intel UHD Graphics 620,1.7,Notebook/Laptop,Large,3000 x 2000,Microsoft Surface Book 2,Windows 10 Pro,256,SSD,For parts or not working,100.0
85264984999,Panasonic,Intel Core Duo,13.1,Silver,2.0,256.0,Intel HD Graphics,1.6,Notebook/Laptop,Small,1024 x 728,Panasonic Toughbook CF-30,Windows 7,320,SSD,Used,164.95
85264985007,HP,Intel Core i3,15.6,Black,6.0,1000.0,Intel HD Graphics,2.3,Notebook/Laptop,Small,1366 x 768,HP 15-ay009dx,Windows 10 Home,1000,HDD,Used,62.95
85264985023,Chuwi,Intel Core M3,13.3,Gray,8.0,256.0,Intel HD Graphics 615,1.1,Notebook/Laptop,Medium,1920 x 1080,Aerobook Pro,Windows 10,256,SSD,New,287.12
85264985031,HP,Intel Celeron,14.0,Multicolor,4.0,16.0,Intel HD Graphics,2.16,Notebook/Laptop,Small,1366 x 768,HP Chromebook 14 G4,Chrome OS,16,eMMC,Used,79.99
85264985033,Chuwi,Quad Core,15.6,Gray,8.0,256.0,Intel UHD Graphics,3.4,Notebook/Laptop,Medium,1920 x 1080,GemiBook Plus,Windows 11 Home,256,SSD,New,256.49
85264985036,Dell,Intel Core i7,14.0,Gray,16.0,256.0,Intel Iris Xe Graphics,3.0,Notebook/Laptop,Medium,1920 x 1080,Dell Latitude 7420,Windows 11 Pro,256,SSD,Used,349.99
85264985037,Lenovo,Intel Core i7,14.1,Purple,16.0,256.0,NVIDIA GEFORCE GT 730M,2.9,Notebook,Small,1600 x 900,ThinkPad T460p,Windows 10 Pro,0,SSD,Used,187.77
85264985038,Lenovo,Intel Core i5,14.0,Standard,12.0,512.0,Intel HD Graphics 520,2.4,Notebook/Laptop,Medium,1920 x 1080,t470s i5,Windows 11 Pro,512,SSD,Excellent,219.99
85264985039,HP,Intel Core i3,15.6,Silver,32.0,1000.0,Intel UHD Graphics,4.1,Notebook/Laptop,Small,1366 x 768,HP 15 Inch Laptop,Windows 11 Home,1000,SSD,New,579.0
85264985041,Dell,Intel Core i5,12.3,Black,8.0,256.0,Intel UHD Graphics 620,1.7,Tablet,Large,1920 x 1280,Dell Latitude 5290,Windows 11 Pro,256,SSD,Used,110.0
85264985048,Lenovo,Intel Core i3,15.6,Black,8.0,256.0,Intel HD Graphics 4600,2.4,Notebook/Laptop,Small,1366 x 768,Lenovo ThinkPad E540,Windows 10 Pro,250,SSD,Used,100.0
85264985053,Lenovo,Intel Core i7,15.6,Black,16.0,256.0,Intel UHD Graphics 620,1.8,Notebook/Laptop,Medium,1920 x 1080,Lenovo ThinkPad T590,Windows 11 Pro,256,SSD,Used,279.99
85264985056,Chuwi,Intel Celeron,14.1,Gray,8.0,0.0,Intel UHD Graphics 600,2.6,Notebook/Laptop,Medium,1920 x 1080,N4000,Windows 10,256,SSD,New,133.99
85264985059,Lenovo,Intel Celeron,11.6,Multicolor,4.0,32.0,Intel HD Graphics,2.4,Notebook/Laptop,Small,1366 x 768,Lenovo 100e,Chrome OS,32,eMMC,Good,74.99
85264985069,Acer,Intel Celeron,11.6,Gray,2.0,16.0,Intel HD Graphics,1.4,Notebook/Laptop,Small,1366 x 768,Acer Chromebook C720,Chrome OS,16,SSD,Good,42.99
